"","log2FoldChange","padj","Factor"
"ko:K08548",0.225629753000499,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K08764",1.24380545406785,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K08870",-0.0218944242177544,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K08872",0.464946365189729,0.989798132388333,"Menthol_Menthol_vs_Control"
"ko:K08957",0.908981082158428,0.854768993279775,"Menthol_Menthol_vs_Control"
"ko:K09022",-0.410806767639281,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K09398",0.655668513698119,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K09481",-0.00236011858112654,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K09490",1.18085031175398,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K09567",-0.977460049645984,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K09568",0.327597476736335,0.993387168659257,"Menthol_Menthol_vs_Control"
"ko:K09569",1.77959772621571,0.241958159975776,"Menthol_Menthol_vs_Control"
"ko:K09580",0.0487217889305745,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K09584",0.210896784853086,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K09595",-0.830411414196696,0.507229462895065,"Menthol_Menthol_vs_Control"
"ko:K10364",0.538397444658509,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K10365",-0.0376883742094269,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K10418",0.427788987043437,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K10419",0.152122354928905,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K10420",-0.0345240473673257,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K10435",-0.0780722152931385,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K10573",0.952854653342605,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K10575",-0.411013741006856,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K10577",-1.20389950045776,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K10580",-0.150857662341885,0.989798132388333,"Menthol_Menthol_vs_Control"
"ko:K10582",-0.121276265799318,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K10583",-0.865721262958444,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K10688",-1.52662278373327,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K10704",-0.119847575849576,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K10949",0.608214209054728,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K10956",0.865911755719709,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K11087",-0.253273433574298,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K11088",-0.18197908460679,0.988062050613687,"Menthol_Menthol_vs_Control"
"ko:K11099",0.816183279128154,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K11130",0.624201146760184,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K11188",0.0176617586674875,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K11251",0.729513787808336,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K11252",-0.294844941594401,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K11254",0.0888104864711647,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K11495",-0.597996451374795,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K11584",0.257101991129753,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K11827",-1.82713313519096,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K11884",-0.501499465382123,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K11980",-0.622702909962688,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K12158",0.0433694709438403,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K12165",-0.956870848316621,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12194",-0.170945895093703,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K12197",-0.0927370198990032,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K12198",-1.70924705110164,0.64929891449339,"Menthol_Menthol_vs_Control"
"ko:K12393",0.41122620396419,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12398",1.04430979074447,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12581",-0.533259852712461,0.964881893147425,"Menthol_Menthol_vs_Control"
"ko:K12620",-1.38854143386933,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K12621",0.494461627422221,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12622",-0.316605222336376,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K12623",0.272937624220508,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K12670",-0.507579180874299,0.988062050613687,"Menthol_Menthol_vs_Control"
"ko:K12757",-0.170746507731044,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12828",-0.0715035605547173,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12832",-0.12496937881519,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12833",-0.696692993756516,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12859",-0.257474379004324,0.988062050613687,"Menthol_Menthol_vs_Control"
"ko:K12873",-0.782229053608701,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K12877",0.217416872012322,0.993387168659257,"Menthol_Menthol_vs_Control"
"ko:K12947",-0.410359450943455,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K13025",-0.2750752300825,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K13120",0.775546205876488,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K13126",0.444227418115642,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K13176",-1.13943812659724,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K13251",0.670682697882253,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K13758",0.57825008754038,0.881512699503934,"Menthol_Menthol_vs_Control"
"ko:K13785",-2.65026912281794,1.66405231464763e-05,"Menthol_Menthol_vs_Control"
"ko:K14324",-0.682196517210148,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K14394",1.91803930358535,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K14397",-0.554599301158917,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K14753",-0.236439346894387,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K14803",-0.695203142731592,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K14965",-6.59050875460467,1.39396772083775e-12,"Menthol_Menthol_vs_Control"
"ko:K15025",0.0586528549287951,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K15103",0.376575836122131,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K15620",-1.40548541107509,0.828092446690565,"Menthol_Menthol_vs_Control"
"ko:K16186",1.45722406583418,0.178964449598714,"Menthol_Menthol_vs_Control"
"ko:K16197",-1.2973913162512,0.207013099414876,"Menthol_Menthol_vs_Control"
"ko:K16344",-0.861843594214176,0.728038558089178,"Menthol_Menthol_vs_Control"
"ko:K16575",0.252721533196169,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K16794",-0.259367700498896,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K17080",-1.24822849105576,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K17081",-0.439056475550699,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K17093",1.35086444598517,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K17254",0.693131657364381,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K17255",0.625007216949638,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K17266",-0.693914217300146,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K17268",0.558115962663641,0.854768993279775,"Menthol_Menthol_vs_Control"
"ko:K17497",-0.260112516623132,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K17780",-0.93237134925796,0.854768993279775,"Menthol_Menthol_vs_Control"
"ko:K17795",0.855325688124088,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K17918",-0.0992445934655483,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K17920",0.875049418470588,0.0035430980440801,"Menthol_Menthol_vs_Control"
"ko:K18269",-0.721118029232821,0.728038558089178,"Menthol_Menthol_vs_Control"
"ko:K18466",-0.179213648669199,0.988062050613687,"Menthol_Menthol_vs_Control"
"ko:K18617",0.314494156555682,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K19400",-0.114890278431609,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K19682",0.0925843875630286,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K19765",0.0203674112658241,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K19788",1.48185753667078,0.854768993279775,"Menthol_Menthol_vs_Control"
"ko:K19931",-0.0841273431511305,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K19932",-0.705280230355255,0.854768993279775,"Menthol_Menthol_vs_Control"
"ko:K20011",0.00745786972963807,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K20301",0.498124728001964,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K20302",0.0956563365608392,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K20346",-0.892074159925449,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K20347",-0.405832207981099,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K20350",-1.44852427603716,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K20352",-0.137800493234996,0.961916795994164,"Menthol_Menthol_vs_Control"
